rank_usnews_2025,uni_name,variable,Coded Value,Original Text Segment,Rationale,retrieval_rd1(2025.7.14-7.30),retrieval_rd2(2025.8.1-8.20),retrieval_rd3(8.22-9.21)
,,D3_responsibility,1,"""Use of or consultation with generative AI shall be treated analogously to assistance from another person"" and the use of AI to ""substantially complete"" assignments.",Treating AI as an "external assistant" and directly incorporating it into the scope of the Honor Code clarifies that unauthorized use constitutes a violation of academic integrity.,2025/7/14,2025/8/1,2025/8/22
,,D4_ai_as_aid,1,While these tools have applications that foster student learning and understanding... give sufficient space for instructors to explore uses...,"Recognize the positive role of AI in learning, explicitly encourage teachers to explore its use rather than imposing a blanket ban, and position it as a potential educational aid.",2025/7/14,2025/8/1,2025/8/22
4,University of Oxford,D1_tech_limit,1,"...maintaining a critical approach to using the output produced by GenAI and an awareness of the tools’ limitations, such as hallucinations, or social biases..."" 
 ""probabilistic nature of GenAI tools""","It explicitly points out the limitations of AI (hallucinations, social biases, probabilistic outputs) and warns of its shortcomings in reproducibility and transparency.",2025/7/14,2025/8/1,2025/8/23
,,D2_proactive,1,"Users should declare the substantive use of GenAI tools... Declarations could include the name, version, date, and how it was used.","A detailed ""mandatory disclosure"" system has been established (requiring specification of version and purpose), and proactive educational support is provided through the AI Capability Center, rather than solely relying on post-hoc plagiarism checks.",2025/7/14,2025/8/1,2025/8/23
,,D3_responsibility,1,Remain ultimately responsible for GenAI content used in research. Users of GenAI tools are accountable for the integrity of the content... incorporation of AI-related violations into the Code of Academic Integrity.,"It is explicitly stipulated that users bear ""ultimate responsibility"" and are ""accountable"" for the integrity of AI-generated content, aligning with the standards for redefining the focus of academic integrity.",2025/7/14,2025/8/1,2025/8/23
,,D4_ai_as_aid,1,The University of Oxford wishes to enable and support the safe and productive use of GenAI..." distinguishing between "substantive use" and permitted "use for language assistance" (such as polishing or translation assistance for non-native speakers),"Explicitly oppose a one-size-fits-all approach, positioning AI as a productivity tool that ""offers immense opportunities,"" and provide all members with the official version of ChatGPT Edu to support auxiliary research.",2025/7/14,2025/8/1,2025/8/23
5,University of Cambridge,D1_tech_limit,1,"""The University does not currently use or endorse AI detection software... These tools are known to produce false positives and are easily circumvented.""","Explicitly identifies the technical limitations (""false positives,"" ""easily circumvented"") and officially declines to endorse detection software as a reliable basis for judgment.",2025/7/14,2025/8/2,2025/8/23
,,D2_proactive,1,"""Students are required to provide an AI usage statement... detailing which tools were used and for what purpose.""",Implements a proactive governance strategy through "Mandatory Disclosure." It shifts the focus from catching cheaters to fostering transparency through formal statements.,2025/7/14,2025/8/2,2025/8/23
,,D3_responsibility,1,"""The student remains personally and academically responsible for the accuracy and integrity of their work... AI-induced errors are not a valid defense.""",Defines the student as the ultimate bearer of responsibility. It explicitly states that "AI-induced errors" (hallucinations) do not absolve the student from academic misconduct charges.,2025/7/14,2025/8/2,2025/8/23
,,D4_ai_as_aid,1,"""AI can be a powerful aid for learning, such as for structuring arguments, brainstorming, or improving the clarity of English.""","t: Positions AI as a supportive ""aid"" rather than a threat. It explicitly lists ""brainstorming"" and ""clarity improvement"" as legitimate, ethically-guided uses.",2025/7/14,2025/8/2,2025/8/23
6,University of California Berkeley,D1_tech_limit,1,"""We do not recommend that instructors rely upon AI detection tools to identify usage for writing and, instead, encourage faculty to engage in conversation with their students...""","Restricts the use of detection results as a primary basis for judgment. It emphasizes that these tools should not be ""relied upon,"" shifting the focus to human dialogue.",2025/7/14,2025/8/2,2025/8/23
,,D2_proactive,1,"""Researchers must comply with varying license agreement terms... Before you scrape and before you train.""","Provides specific ""Assignment/Research Redesign"" guidelines for digital resources, moving governance into the early stages of the research process.",2025/7/14,2025/8/2,2025/8/23
,,D3_responsibility,1,"""Individuals who accept click-through agreements... may face personal consequences, including responsibility for compliance with terms and conditions.""",Redefines responsibility by extending it to legal liability. It warns that students/staff bear "personal consequences" for the contracts they enter with AI vendors.,2025/7/14,2025/8/2,2025/8/23
,,D4_ai_as_aid,1,"""...members of the campus community are eager to explore their use in the university context. This advisory guides how to support innovation...""","Positions AI as a catalyst for innovation rather than a threat. It emphasizes ""supporting innovation"" and ""exploring use,"" aligning with the framing of AI as a beneficial aid.",2025/7/14,2025/8/2,2025/8/23
7,University College London,D1_tech_limit,1,UCL does not use GenAI detectors when marking.&GenAI tools can provide misleading or incorrect information.,Explicitly rejecting the use of detectors as an evaluation method aligns with the criteria of "restricting the use of outcomes" and "highlighting technical limitations.",2025/7/15,2025/8/2,2025/8/24
,,D2_proactive,1,"""If no explicit instructions are given, the default... should be that you use GenAI in an assistive role."" and emphasizing the verification of authorship through an ""investigatory viva.""","A rule of ""assistance permitted by default"" has been established, with a clear shift in evaluation methods from technical detection to human interviews (Viva), aligning with the criteria for strategic transition.",2025/7/15,2025/8/2,2025/8/24
,,D3_responsibility,1,"""Academic misconduct is strictly prohibited... when you hide something and aren't transparent... final submission is still substantially your own work.""","Emphasizing transparency as integrity, it defines ""substantive originality"" as the ultimate responsibility of students, with any violation directly classified as plagiarism.",2025/7/15,2025/8/2,2025/8/24
,,D4_ai_as_aid,1,"""Rather than seek to prohibit your use of them, we will support you in using them effectively, ethically and transparently.""","The policy explicitly opposes prohibition from the outset, positioning it as a ""potentially transformative technology"" and encouraging its use in auxiliary roles such as conceptualization and planning, thereby defining it as an Aid.",2025/7/15,2025/8/2,2025/8/24
8,University of Washington Seattle,D1_tech_limit,1,"""These tools can also create falsehoods, make up sources, and create biased content."" and ""Generative AI get things wrong... double-check any important information.""","It clearly identifies the limitations of AI-generated content (fabrication, falsification of sources, bias, factual errors), which aligns with the established criteria.",2025/7/15,2025/8/2,2025/8/24
,,D2_proactive,1,"""Academic Integrity and Plagiarism Prevention Resources"" including specific ""Disclosure"" requirements: ""have you made it clear this content is computer-generated?""","Emphasize guiding students through ""transparent disclosure"" and providing ""self-paced lessons,"" rather than relying solely on interception. Additionally, guide teachers in reconstructing their pedagogical understanding by referencing other resources.",2025/7/15,2025/8/2,2025/8/24
,,D3_responsibility,1,"""Fact check: ...it is important to double-check any important information before you post or share it."" and requirements for ethical self-reflection on use cases.","Although the wording is relatively mild, it clearly requires students to assume responsibility for ""verification"" and ""disclosure,"" while defining ""use without the instructor's permission"" within the scope of ethical considerations, thereby establishing a clear allocation of responsibility.",2025/7/15,2025/8/2,2025/8/24
,,D4_ai_as_aid,1,"""Using AI Ethically to Enhance Learning"" and ""tools help users synthesize information and create content.""","Both the title and main text define AI as a tool for ""enhanced learning,"" actively comparing the strengths and weaknesses of different tools while providing usage guidelines. They explicitly oppose a one-size-fits-all approach and position AI as an educational aid.",2025/7/15,2025/8/2,2025/8/24
9,Yale University,D1_tech_limit,1,"AI detection software is notoriously unreliable. It frequently produces false positives, wrongly accusing students of misconduct, and false negatives, failing to catch AI use.""",Explicitly mentions "Limited accuracy" by identifying both false positives and false negatives. It labels the tools as "notoriously unreliable.",2025/7/15,2025/8/2,2025/8/24
,,D2_proactive,1,"""AI-generated responses can be biased, inaccurate, inappropriate, or may contain unauthorized copyrighted information.""",Explicitly identifies technical hallucinations and inaccuracies (biases/errors) as a prerequisite for human oversight.,2025/7/15,2025/8/3,2025/8/24
,,D3_responsibility,1,"""We are each responsible for the content of our work product. Always review and verify outputs generated by AI tools.""","Redefines the student/user as the ultimate bearer of responsibility for the final output, explicitly requiring verification/fact-checking.",2025/7/15,2025/8/3,2025/8/24
,,D4_ai_as_aid,1,"""We encourage you to experiment with AI tools... we will embrace technological tools and harness their power for innovation.""","Explicitly positions AI as a catalyst for innovation and encourages experimentation, moving away from a prohibitionist stance.",2025/7/15,2025/8/3,2025/8/24
10,Columbia University,D1_tech_limit,1,"""As with any form of detection software, there are risks of misidentification... AI detection should be treated as a guideline and not a grading metric."" and noting that output may be ""biased, misleading, or inaccurate.""","The policy explicitly acknowledges the risk of misjudgment in AI detection tools and stipulates that they cannot serve as the sole basis for scoring or accusations, fully aligning with established standards.",2025/7/15,2025/8/3,2025/8/25
,,D2_proactive,1,"""Disclose the use of Generative AI tools... disclose that those materials and that work product is based on or derives from the use of Generative AI."" and recommending that instructors set rules through the Syllabus and classroom discussion.","It emphasizes the replacement of purely technical interceptions with mandatory disclosure and transparency management, and provides specific operational design guidelines (such as CTL resources), aligning with the characteristics of strategic transfer.",2025/7/15,2025/8/3,2025/8/25
,,D3_responsibility,1,"""Researchers are responsible for the accuracy of any content created by AI... you are responsible for any content that you publish.""","It is explicitly stipulated that users bear ultimate responsibility for AI-generated content (including accuracy and copyright compliance), and unauthorized use is directly defined as analogous to ""unauthorized assistance"" or ""plagiarism.""",2025/7/15,2025/8/3,2025/8/25
,,D4_ai_as_aid,1,"""Columbia University... embraces generative AI tools... Generative AI tools have the capacity to expedite existing processes and make possible new ones.""","The policy begins by explicitly stating its intention to ""embrace"" AI, treating it as a positive tool for advancing learning, research, and healthcare services, and establishes an officially reviewed list of AI services to support its use.",2025/7/15,2025/8/3,2025/8/25
11,Imperial College London,D1_tech_limit,1,"""Text-focused tools... use collections of existing data to predict outputs... but can produce unreliable outputs, making them unsuitable for unverified academic use."" and mentioning ""AI hallucinations.""","It explicitly points out that the predictive nature of AI leads to unreliable outputs and uses the term ""hallucination,"" which aligns with the criteria for addressing limitations.",2025/7/15,2025/8/3,2025/8/25
,,D2_proactive,1,"""You should include a statement to acknowledge your use... include: Name, Version, Publisher, URL, Brief description, and Confirmation."" and the release of the university's own ""dAIsy"" platform.","An extremely rigorous ""mandatory disclosure framework"" has been established (including requirements for prompts, versions, and even original conversation links), supported by an official platform rather than relying solely on detection, aligning with the characteristics of strategic transfer.",2025/7/15,2025/8/3,2025/8/25
,,D3_responsibility,1, "Guard against AI 'hallucinations' by fact-checking every statement... I confirm that no content generated by AI has been presented as my own work.","Students are required to verify each statement (fact-checking every statement), and explicitly equate ""unauthorized content generation"" with contract cheating, assigning a high level of responsibility.",2025/7/15,2025/8/3,2025/8/25
,,D4_ai_as_aid,1, "Imperial has also launched the dAIsy platform... Consider use of AI outputs as a starting point for research only.","The university proactively launched the official AI platform (dAIsy), positioning it as a ""starting point"" and search tool for research, rather than imposing a ban, and defining it as an Aid.",2025/7/15,2025/8/3,2025/8/25
13,University of California Los Angeles,D1_tech_limit,1,"""The content generated... can contain “hallucinations,” not be accurate, and/or be out of date. ...underlying models may have been trained with biased or partial/incomplete data.""","Identifies the ""hallucination"" problem and acknowledges that models are ""black boxes"" trained on biased/incomplete datasets, aligning with the ""Limited accuracy"" criterion.",2025/7/16,2025/8/3,2025/8/25
,,D2_proactive,1,"""Unless otherwise specified by the faculty member, all submissions... must either be the Student’s own work, or must clearly acknowledge the source.""",Shifts to a "Mandatory Disclosure" strategy. It places the authority on the instructor to specify "acceptable use" for each individual course (Syllabus-based).,2025/7/16,2025/8/3,2025/8/25
,,D3_responsibility,1,"""It is the users’ responsibility and accountability to get informed about these limitations... and apply their judgements before using any of these outputs.""",Clearly assigns "ultimate responsibility" to the user. It explicitly mentions "accountability" for reviewing outputs to avoid spreading inaccuracies.,2025/7/16,2025/8/3,2025/8/25
,,D4_ai_as_aid,1,"""...augmenting human capabilities and opening new avenues for innovation. Here at UCLA, we are committed to exploring and leveraging these capabilities...""",Positions AI as an "augmenting" tool rather than a replacement. It explicitly states a commitment to "leveraging" AI for academic and creative enrichment.,2025/7/16,2025/8/3,2025/8/25
14,Johns Hopkins University,D1_tech_limit,1,“better understand the benefits and drawbacks of generative AI”,"This policy explicitly requires identifying the 'drawbacks' of artificial intelligence through teacher-student discussions, using the technological limitations as a starting point for classroom debates. This aligns with the proactive governance framework, which emphasizes ex-ante rules and the clear disclosure of technological limitations.",2025/7/16,2025/8/4,2025/8/26
,,D2_proactive,1,"""provide explicit guidelines within course syllabi... If applicable, students should also be informed about the appropriate way to acknowledge... must include a reflection on their use.""","It emphasizes management through the establishment of ex-ante rules in the syllabus and the practice of ""writing reflection."" This approach, which requires students to document how AI influences their understanding, exemplifies typical assignment restructuring and proactive governance.",2025/7/16,2025/8/4,2025/8/26
,,D3_responsibility,1, "any use in assessments must be clearly indicated and appropriately attributed... to ensure fair evaluation of individual student performance.","Linking ""Attribution Statements"" with ""Individual Performance Assessment"" clarifies students' responsibility to maintain transparency when utilizing tools, aligning with accountability standards.",2025/7/16,2025/8/4,2025/8/26
,,D4_ai_as_aid,1, "Students are encouraged to explore and experiment with generative AI tools for learning purposes... advocates for thoughtful ways to incorporate these tools into learning.","The policy stance is proactive, encouraging ""exploration and experimentation"" and providing a range of templates from outright prohibition to active encouragement of use, treating it as an auxiliary technology that can be integrated into higher education.",2025/7/16,2025/8/4,2025/8/26
15,University of Pennsylvania,D1_tech_limit,1,"""Users should be wary of misinformation or 'hallucinations' by AI tools (e.g., citations to publications... that do not exist)."" and mentioning that training data may lead to bias.","It is clearly indicated that AI exhibits misleading information, false citations (hallucinations), and biases, which meet the criteria for assessment.",2025/7/16,2025/8/4,2025/8/26
,,D2_proactive,1,"""Disclose when a work product was created wholly or partially using an AI tool... treat the use of AI as you would treat assistance from another person.""","A management logic of ""human-like assistance"" has been established, emphasizing mandatory disclosure (Transparency) and requiring researchers to guide students (Mentees) in proper usage, aligning with the characteristics of proactive governance.",2025/7/16,2025/8/4,2025/8/26
,,D3_responsibility,1, "Users are accountable for their use of content created by AI... validate the accuracy... with trusted first party sources.","Clearly establish a user accountability system, stipulating that users must independently verify the accuracy of information, thereby ensuring clear delineation of responsibilities.",2025/7/16,2025/8/4,2025/8/26
,,D4_ai_as_aid,1, "Penn embraces innovations like generative AI... in pursuit of Penn’s mission.","The policy begins by employing the term ""Embraces,"" positioning AI as a proactive and innovative tool for enhancing teaching, research, and resource management, rather than an object of prohibition.",2025/7/16,2025/8/4,2025/8/26
16,Cornell University,D1_tech_limit,1," ""Detection tools... cannot provide evidence for that claim, and tests have revealed significant margins of error. This raises a substantial risk that students may be wrongly accused.""","Clearly warn that AI detectors have a high false positive rate and point out that they cannot provide conclusive evidence, strongly advising instructors not to rely on them as a basis for determining violations.",2025/7/16,2025/8/4,2025/8/26
,,D2_proactive,1,"""A set of course policy icons has been developed... to help Cornell instructors communicate... Designing authentic assessments will likely be far more effective than policing students.""","A visual policy icon system has been established, and it explicitly proposes replacing the ""Policing"" model with ""Authentic Assessment Design,"" aligning with the criteria for strategic transition.",2025/7/16,2025/8/4,2025/8/26
,,D3_responsibility,1," ""they are responsible for verifying the output... The student is unable to verbally explain, expand upon, or defend their submitted work... constitute evidence of potential integrity violations.""","Students are mandated to bear the responsibility of verification, and ""the inability to orally defend or explain the content of assignments"" is listed as key evidence for determining misconduct, emphasizing ultimate accountability for knowledge mastery.",2025/7/16,2025/8/4,2025/8/26
,,D4_ai_as_aid,1," ""To best support student learning... when generative AI is permitted, clarify expectations... instructors who choose to use LLMs to help in the preparation of course materials.""","The policy supports the use of AI to facilitate learning and proactively provides teachers and students with usage templates and Canvas training modules, positioning it as a manageable educational aid.",2025/7/16,2025/8/4,2025/8/26
17,Princeton University,D1_tech_limit,1," ""Identify the benefits, risks, and limitations... monitor and evaluate the performance of the AI system for biases... Don’t rely on AI results without cross verification.""","It clearly states that AI has limitations, biases, and risks of misinformation, and warns against over-reliance without verification, which aligns with the established criteria.",2025/7/17,2025/8/4,2025/8/27
,,D2_proactive,1, "Clearly communicate to the end users and stakeholders the use of AI... only generative AI tools licensed by the University should be used with University Information.","An ""Authorization Tool Priority"" system has been established, mandating proactive risk management through transparent communication and Architecture Security Review (ASR), rather than relying solely on simple blocking measures.",2025/7/17,2025/8/4,2025/8/27
,,D3_responsibility,1, "Accountability and Responsibility: Ensure that AI systems are used responsibly... Maintain oversight and always review and validate AI-generated content.","""Accountability and Responsibility"" is designated as the primary principle, explicitly requiring users to maintain ""human oversight"" and bear ultimate responsibility for the accuracy and copyright compliance of the outputs.",2025/7/17,2025/8/4,2025/8/27
,,D4_ai_as_aid,1,"""Advancements... offer significant potential for impactful real-world applications... serving as a powerful tool for creativity and innovation.""","The policy positions AI as a transformative force that ""transforms the ways of teaching, research, and business operations,"" emphasizing its role as an ""augmenting capabilities"" tool for creativity and innovation.",2025/7/17,2025/8/4,2025/8/27
18,University of California San Francisco,D1_tech_limit,1,"""Generative AI hallucinations are essentially output anomalies...shares information that is incorrect, misleading, or devoid of real-world sense."" and mentioning the bias of training data.","The term ""hallucination"" is precisely defined, indicating that AI does not produce facts but merely generates patterns, which fully aligns with the established criteria.",2025/7/17,2025/8/5,2025/8/27
,,D2_proactive,1, "A best practice is to disclose use AI when it significantly effects the work... Versa is currently the only cloud Generative AI platform authorized for use with UCSF protected data.","An official dedicated AI platform, Versa, has been established to mitigate risks by design (e.g., not storing interaction data), and a ""Disclosure System (Disclose)"" has been implemented, aligning with the characteristics of proactive governance.",2025/7/17,2025/8/5,2025/8/27
,,D3_responsibility,1," ""Always cross-verify the information generated by AI with trusted sources. If the AI output is critical, have it reviewed by a domain expert.""","It is explicitly stipulated that users must conduct cross-verification and consult domain experts in high-risk scenarios, emphasizing the ultimate responsibility for reviewing the accuracy of outcomes.",2025/7/17,2025/8/5,2025/8/27
,,D4_ai_as_aid,1, "Getting the best out of Generative AI means understanding and attempting to mitigate the limitations... augmenting human capabilities.","The policy aims to guide users on how to ""achieve the best outcomes with AI,"" framing it as a shift in computing paradigm and positioning it as an assistive tool.",2025/7/17,2025/8/5,2025/8/27
19,University of Toronto,D1_tech_limit,1,"""Generative AI may produce content that is wholly inaccurate or biased... reference scholarly works that do not exist."" and detailing privacy and information security risks.","It explicitly enumerates the risks of AI hallucinations (false citations), biases, and data breaches, meeting the established criteria.",2025/7/17,2025/8/5,2025/8/27
,,D2_proactive,1,"""Seek and document in writing unambiguous approval from their supervisor(s)... in advance."" and requiring the provision of ""prompts"" or ""full text of the conversation"" as an appendix.","A management model based on ""ex-ante written approval"" and ""full-process documentation"" has been established, shifting the focus of assessment from outcomes to transparent records of AI interaction processes, aligning with the characteristics of strategic reorientation.",2025/7/17,2025/8/5,2025/8/27
,,D3_responsibility,1,"""Graduate students... are ultimately responsible for the content... may face allegations of perpetuating false or misleading information.""","Students bear ultimate responsibility for works containing AI-generated content, with clearly defined accountability that extends to legal consequences.",2025/7/17,2025/8/5,2025/8/27
,,D4_ai_as_aid,1, "Innovative and creative uses of generative AI may support scholarly activities and help facilitate high quality research.","AI is regarded as a potential tool to support academic activities and promote high-quality research, emphasizing its ""supportive"" role rather than imposing simple prohibitions.",2025/7/17,2025/8/5,2025/8/27
20,National University of Singapore,D1_tech_limit,1,Policies include a specific section on "Limitations of AI" and explicitly state that AI should be used "wisely and responsibly.","Although the text is brief, the dedicated module (Infographics) discussing the limitations of AI aligns with the criteria for addressing issues of technological reliability.",2025/7/17,2025/8/5,2025/8/28
,,D2_proactive,1,"""The Human-AI Partnership"" and ""AI Best Practices in Academic Work."" Guiding students to access the THE1005 course on NUSOne.","Emphasizing a ""partnership"" rather than an ""adversarial relationship,"" and providing standardized best practices along with specialized educational modules (THE1005), exemplifies a typical approach to proactive governance.",2025/7/17,2025/8/5,2025/8/28
,,D3_responsibility,1," ""intended to help you leverage the use of AI smartly, responsibly and wisely.""","Although this excerpt does not contain stringent penalty provisions, its core principle of ""responsible use"" requires students to be accountable for the consequences of their tool usage, aligning with the logic of responsibility attribution.",2025/7/17,2025/8/5,2025/8/28
,,D4_ai_as_aid,1," ""just like how they now assume that new hires are able to use calculators, spreadsheets, and word processing software.""","NUS has provided a highly representative analogy, positioning AI as a foundational capability tool akin to a calculator, thereby clarifying its role as an Aid.",2025/7/17,2025/8/5,2025/8/28
21,University of California San Diego,D1_tech_limit,1, "AI tools are known to have bias and hallucinate (make up facts)... tools often do not provide accurate captions and are not compliant with ADA requirements.","The detailed identification of AI's technical deficiencies in factual accuracy, bias, and critical accessibility compliance (ADA) fully meets the established standards.",2025/7/17,2025/8/5,2025/8/28
,,D2_proactive,1,"""The Human-AI Partnership"" and ""AI Best Practices in Academic Work."" Guiding students to access the THE1005 course on NUSOne.","Proactive governance is achieved through detailed functional classification guidelines (e.g., prohibiting use for translation and sensitive communications) and the provision of security-audited proprietary tools (TritonGPT).",2025/7/17,2025/8/5,2025/8/28
,,D3_responsibility,1,"""The person who generates or uses an image from AI is responsible for providing the appropriate credit line."" and requiring all outputs to undergo ""expert review.""","Clearly assign copyright ownership, content accuracy, and review responsibilities to specific operators, ensuring exceptionally precise accountability positioning.",2025/7/17,2025/8/5,2025/8/28
,,D4_ai_as_aid,1, "encouraged to use AI to amplify and augment — rather than displace — human work.","The principle of ""human-centered"" use is explicitly established, positioning AI as a tool to augment and amplify human capabilities, rather than as a substitute.",2025/7/17,2025/8/5,2025/8/28
22,University of Michigan,D1_tech_limit,1, "GenAI can mislead... tend to 'hallucinate' or make up random data... heavily biased toward Standard American English.","It details hallucinations, false data, and language biases targeting specific groups (such as African Americans or Indigenous English), meeting the criteria for assessment.",2025/7/18,2025/8/5,2025/8/28
,,D2_proactive,1,Establishment of the official secure tool "U-M GPT"; requiring applicants to provide a "Sole author attestation"; and providing training for prompt literacy.,"By offering private secure platforms as alternatives to public ones and shifting the governance focus from ""prohibiting tools"" to ""defining the uniqueness of individual writing voices,"" this approach aligns with the characteristics of proactive governance.",2025/7/18,2025/8/5,2025/8/28
,,D3_responsibility,1,"""Applicants must not represent the ideas... generated using GenAI, as their own... you will be asked to acknowledge the above constraints.""","Applicants are explicitly required to sign a compliance declaration (Attestation), with the improper use of AI listed as grounds for ""revocation of admission offers,"" establishing an exceptionally stringent and clear delineation of responsibility.",2025/7/18,2025/8/5,2025/8/28
,,D4_ai_as_aid,1,"""GenAI-based tools are just that, tools that you wield... should assist you in your academic growth.""","AI is explicitly positioned as a tool that users can ""wield,"" emphasizing its role in supporting academic growth rather than replacing critical thinking.",2025/7/18,2025/8/5,2025/8/28
23,California Institute of Technology,D1_tech_limit,1," ""Remember that GenAI systems are fallible. Responses can be inaccurate, misleading, and even entirely fabricated.""","It is explicitly stated that AI systems are ""fallible"" and may generate entirely fabricated content, meeting the criteria for assessment.",2025/7/18,2025/8/5,2025/8/29
,,D2_proactive,1,"""When using GenAI, always disclose promptly... transparency ensures others are aware... reduces misunderstandings."" and mentioning that the university reserves the right to restrict AI companion tools in enterprise software.",Emphasizing management through the transparent mechanism of "timely disclosure" rather than solely relying on detection aligns with the characteristics of strategic shift.,2025/7/18,2025/8/5,2025/8/29
,,D3_responsibility,1, "You should always review and assess all output generated... for accuracy before relying on them or distributing them publicly.","It is explicitly stipulated that users bear the responsibility for reviewing and evaluating AI-generated content before publishing or relying on it, thereby fully attributing accountability to ""humans,"" which aligns with the standards of responsibility attribution.",2025/7/18,2025/8/5,2025/8/29
,,D4_ai_as_aid,1," ""We support a responsible, measured experimentation with and use of new technologies... to advance the frontiers of science and engineering.""","Position AI as an experimental tool at the forefront of scientific and engineering research, supporting its ""cautious and responsible"" use as a means to assist research endeavors.",2025/7/18,2025/8/5,2025/8/29
24,Northwestern University,D1_tech_limit,1,"""These tools can 'hallucinate' or make up random data... tend to suppress less common or marginalized information.""",It explicitly highlights the "hallucination" risk and the "marginalized information suppression" bias arising from the probabilistic prediction nature of AI models.,2025/7/18,2025/8/5,2025/8/29
,,D2_proactive,1,Providing a tool usage matrix based on data classification (Level 1-4); and requiring that all data above Level 1 must undergo IT procurement and security review.,"An extremely detailed risk access mechanism has been established, utilizing technical backend management (such as recommending the use of Microsoft Copilot with account login) to prevent data leakage, which exemplifies proactive governance.",2025/7/18,2025/8/5,2025/8/29
,,D3_responsibility,1, "Revalidation of output is required... tools should be periodically re-validated to ensure appropriate responses.","The ""Revalidation"" responsibility has been introduced, requiring users to conduct periodic checks on AI outputs, thereby clarifying users' ongoing accountability for content accuracy.",2025/7/18,2025/8/5,2025/8/29
,,D4_ai_as_aid,1," ""Generative AI offers the potential for new capabilities in research, education, and productivity.""","It is regarded as a new capability tool for enhancing research, education, and productivity, with a positive attitude and a clear positioning as an auxiliary means.",2025/7/18,2025/8/5,2025/8/29
26,University of Chicago,D1_tech_limit,1, "AI-generated content may be misleading or inaccurate. Generative AI technology may create citations to content that does not exist.","It is explicitly stated that AI may generate misleading information and ""false citations"" (hallucinations), which aligns with the established criteria for evaluation.",2025/7/18,2025/8/6,2025/8/29
,,D2_proactive,1,"Launching the exclusive campus tool ""PhoenixAI""; and stipulating that even for free tools, any processing of confidential data must undergo a ""procurement security review.""","By establishing internal audit processes (Tool Review form) and utilizing a proprietary secure AI platform for access management, rather than relying solely on detection, this approach aligns with proactive governance.",2025/7/18,2025/8/6,2025/8/29
