"id","univ_name","country_region","rank_usnews_2025","source_url","markdown_relpath","text_source_used","required_disclosure_template","faculty_procedure_suspected_ai_misuse","sanctions_for_nondisclosure","detector_mention_any","detector_not_sole_evidence","required_detector_screening","policy_signal_score","needs_manual_check"
11,"Imperial College London","UK",11,"https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/","00_source_material/04_policy_markdown/02_international_original/11_Generative AI guidance _ Administration and support services _ Imperial College London.md","policy_markdown",1,0,0,0,0,0,1,0
12,"University of California Los Angeles","USA",13,"https://dts.ucla.edu/initiatives/ai/guiding-principles-responsible-use","00_source_material/04_policy_markdown/02_international_original/13_Guiding Principles for Responsible Use _ Digital & Technology Solutions.md","policy_markdown",0,0,0,0,0,0,0,0
13,"Johns Hopkins University","USA",14,"https://engineering.jhu.edu/ctld/chatgpt/ai-tools/","00_source_material/04_policy_markdown/02_international_original/14_Generative AI Tools – Johns Hopkins Engineering CTLD.md","policy_markdown",0,0,0,1,0,0,1,0
14,"University of Pennsylvania","USA",15,"https://isc.upenn.edu/security/AI-guidance","00_source_material/04_policy_markdown/02_international_original/15_Statement on Guidance for the University of Pennsylvania Community on Use of Generative Artificial Intelligence _ Inform.md","policy_markdown",0,0,0,1,0,0,1,0
15,"Cornell University","USA",16,"https://teaching.cornell.edu/generative-artificial-intelligence/ai-academic-integrity","00_source_material/04_policy_markdown/02_international_original/16_AI & Academic Integrity _ Center for Teaching Innovation.md","policy_markdown",1,0,0,1,0,0,2,0
16,"Princeton University","USA",17,"https://oit.princeton.edu/policies/generative-ai-tools-use-policy","00_source_material/04_policy_markdown/02_international_original/17_Generative AI Tools Use Policy _ Office of Information Technology.md","policy_markdown",0,0,0,0,0,0,0,0
17,"University of California San Francisco","USA",18,"https://ai.ucsf.edu/considerations-using-generative-ai","00_source_material/04_policy_markdown/02_international_original/18_Considerations for using Generative AI _ AI@UCSF.md","policy_markdown",0,0,0,0,0,0,0,0
18,"University of Toronto","Canada",19,"https://www.sgs.utoronto.ca/about/guidance-on-the-use-of-generative-artificial-intelligence/","00_source_material/04_policy_markdown/02_international_original/19_Guidance on the Appropriate Use of Generative Artificial Intelligence for Graduate Academic Milestones – School of Gradu.md","policy_markdown",0,0,0,0,0,0,0,0
19,"National University of Singapore","Singapore",20,"https://libguides.nus.edu.sg/new2nus/ai_guidelines_infographics","00_source_material/04_policy_markdown/02_international_original/20_AI Guidelines - Library Essentials - LibGuides at National University of Singapore.md","policy_markdown",0,0,0,0,0,0,0,0
20,"University of California San Diego","USA",21,"https://univcomms.ucsd.edu/resources/ai-guidance/index.html","00_source_material/04_policy_markdown/02_international_original/21_AI Guidelines for Campus Communicators.md","policy_markdown",0,0,0,0,0,0,0,0
21,"University of Michigan","USA",22,"https://rackham.umich.edu/admissions/applying/guidance-and-policies-related-to-use-of-genai-for-rackham-applicants","00_source_material/04_policy_markdown/02_international_original/22_Guidance and Policies Related to Use of GenAI for Rackham Applicants _ Rackham Graduate School_ University of Michigan.md","policy_markdown",0,0,0,0,0,0,0,0
22,"California Institute of Technology","USA",23,"https://www.caltech.edu/campus-life-events/campus-announcements/guidance-on-the-use-of-generative-ai-and-large-language-model-tools","00_source_material/04_policy_markdown/02_international_original/23_Guidance on the Use of Generative AI and Large Language Model Tools - www.caltech.edu.md","policy_markdown",0,0,0,0,0,0,0,0
23,"Northwestern University","USA",24,"https://www.it.northwestern.edu/about/policies/guidance-on-the-use-of-generative-ai.html","00_source_material/04_policy_markdown/02_international_original/24_Northwestern Guidance on the Use of Generative AI_ Information Technology - Northwestern University.md","policy_markdown",0,0,0,0,0,0,0,0
24,"University of Chicago","USA",26,"https://genai.uchicago.edu/about/generative-ai-guidance","00_source_material/04_policy_markdown/02_international_original/26_Generative AI Guidance _ University of Chicago.md","policy_markdown",0,0,0,0,0,0,0,0
25,"Duke University","USA",27,"https://ctl.duke.edu/ai-and-teaching-at-duke-2/artificial-intelligence-policies-in-syllabi-guidelines-and-considerations/","00_source_material/04_policy_markdown/02_international_original/27_Artificial Intelligence Policies_ Guidelines and Considerations - Duke Center for Teaching and Learning.md","policy_markdown",0,0,0,1,1,0,2,0
26,"Nanyang Technological University","Singapore",28,"https://www.ntu.edu.sg/research/resources/use-of-gai-in-research","00_source_material/04_policy_markdown/02_international_original/28_NTU Policy on the Use of Generative Artificial Intelligence in Research _ Research _ NTU Singapore.md","policy_markdown",0,0,0,0,0,0,0,0
27,"University of Sydney","Australia",29,"https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html","00_source_material/04_policy_markdown/02_international_original/29_Artificial intelligence - The University of Sydney.md","policy_markdown",0,0,0,1,1,0,2,0
28,"University of Melbourne","Australia",30,"https://msd.unimelb.edu.au/belt/quality/generative-ai/genai-and-student-academic-integrity","00_source_material/04_policy_markdown/02_international_original/30_Melbourne_GenAI and Student Academic Integrity.md","policy_markdown",0,0,0,1,1,0,2,0
29,"Washington University (WUSTL)","USA",31,"https://genai.wustl.edu/responsibleuse/","00_source_material/04_policy_markdown/02_international_original/31_Responsible Use of Generative AI _ WashU+AI _ Washington University in St. Louis.md","policy_markdown",0,0,0,0,0,0,0,0
30,"New York University","USA",32,"https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/academic-integrity-for-students-at-nyu.html","00_source_material/04_policy_markdown/02_international_original/32_Academic Integrity for Students at NYU.md","policy_markdown",0,0,0,0,0,0,0,0
31,"University of Amsterdam","Netherlands",33,"https://www.uva.nl/en/about-the-uva/policy-and-regulations/education/policy-framework-and-guidelines-on-genai-in-education.html?cb
","00_source_material/04_policy_markdown/02_international_original/33_Policy framework and guidelines on GenAI in education - University of Amsterdam.md","policy_markdown",0,0,0,0,0,0,0,0
32,"University of New South Wales Sydney","Australia",34,"https://www.unsw.edu.au/student/managing-your-studies/academic-skills-support/toolkit/ai","00_source_material/04_policy_markdown/02_international_original/34_Using AI in university _ Current Students – UNSW Sydney.md","policy_markdown",0,1,1,1,0,0,3,0
33,"ETH Zurich","Switzerland",35,"https://library.ethz.ch/en/researching-and-publishing/scientific-writing-at-eth-zurich/plagiat-und-kuenstliche-intelligenz-ki.html#legal-framework","00_source_material/04_policy_markdown/02_international_original/35_Plagiarism and generative Artificial Intelligence (genAI) – ETH Library _ ETH Zurich.md","policy_markdown",0,0,0,0,0,0,0,0
34,"King's College London","UK",36,"https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/student-guidance","00_source_material/04_policy_markdown/02_international_original/36_Generative AI - Student guidance _ King's College London.md","policy_markdown",0,0,1,0,0,0,1,0
35,"Chinese University of Hong Kong","HK",37,"https://www.aqs.cuhk.edu.hk/documents/A-guide-for-students_use-of-AI-tools.pdf","00_source_material/04_policy_markdown/02_international_original/37_ChineseHK_A-guide-for-students_use-of-AI-tools.md","policy_markdown",0,0,0,0,0,0,0,0
36,"Monash University","Australia",38,"https://www.monash.edu/graduate-research/support-and-resources/resources/guidance-on-generative-ai","00_source_material/04_policy_markdown/02_international_original/38_Monash_Guidance on Generative AI - Graduate Research.md","policy_markdown",0,0,0,0,0,0,0,0
37,"University of Edinburgh","UK",39,"https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative","00_source_material/04_policy_markdown/02_international_original/39_Using generative AI in your studies_ guidelines for students _ Computing _ Information Services.md","policy_markdown",0,0,0,0,0,0,0,0
38,"Icahn School of Medicine at Mount Sinai","USA",40,"https://icahn.mssm.edu/files/ISMMS/Assets/Education/Student%20Life%20and%20Resources/AI-Policy.pdf","00_source_material/04_policy_markdown/02_international_original/40_Icahn School of Medicine at Mount Sinai Policy.md","policy_markdown",0,0,0,1,0,0,1,0
39,"University of British Columbia","Canada",41,"https://it-genai-2023.sites.olt.ubc.ca/files/2024/08/PRINCIPLES_FOR_MITIGATING_RISKS.pdf","00_source_material/04_policy_markdown/02_international_original/41_BritishColumbiaPRINCIPLES_FOR_MITIGATING_RISKS.md","policy_markdown",0,0,0,0,0,0,0,0
40,"University of Copenhagen","Denmark",42,"https://s3.ap-south-1.amazonaws.com/attachments.cmcdistedu.org/NNF/Webinar_Resources/ENG_STUD_ACC_AI-declaration.pdf","00_source_material/04_policy_markdown/02_international_original/42_University of Copenhagen_ENG_STUD_ACC_AI-declaration.md","policy_markdown",1,0,0,0,0,0,1,0
41,"University of Queensland","Australia",43,"https://my.uq.edu.au/information-and-services/manage-my-program/student-integrity-and-conduct/academic-integrity-and-student-conduct","00_source_material/04_policy_markdown/02_international_original/43_Academic integrity and student conduct - my.UQ - University of Queensland.md","policy_markdown",0,1,1,1,0,0,3,0
42,"University of Hong Kong","HK",44,"https://www.rss.hku.hk/research-integrity/GenAI-research-guidelines.pdf","00_source_material/04_policy_markdown/02_international_original/44_HKGenAI-research-guidelines.md","policy_markdown",0,0,0,0,0,0,0,0
43,"Humboldt University of Berlin","Germany",47,"https://ki.cms.hu-berlin.de/de/ki-policy-an-der-hu","00_source_material/04_policy_markdown/02_international_original/47_Humboldt University of Berlin.md","policy_markdown",0,0,0,0,0,0,0,0
44,"Universite Paris Cite","France",48,"https://u-paris.fr/wp-content/uploads/2024/02/Charte_Informatique_UPCit%C3%A9_VF.pdf","00_source_material/04_policy_markdown/02_international_original/48_Universite Paris Cite.md","policy_markdown",0,0,0,0,0,0,0,0
45,"Utrecht University","Netherlands",49,"https://students.uu.nl/sites/default/files/GSLS%20GenAI%20Research%20Guidelines%20for%20Students%20and%20Supervisors.pdf","00_source_material/04_policy_markdown/02_international_original/49_UU_GSLS GenAI Research Guidelines for Students and Supervisors.md","policy_markdown",1,0,0,0,0,0,1,0
46,"KU Leuven","Belgium",50,"https://www.kuleuven.be/english/education/student/educational-tools/guidelines-for-students-on-the-authorised-use-of-genai","00_source_material/04_policy_markdown/02_international_original/50_Guidelines for students on the authorised use of GenAI — Student at KU Leuven.md","policy_markdown",0,0,0,0,0,0,0,0
47,"University of North Carolina Chapel Hill","USA",51,"https://college.unc.edu/2023/09/student-use-guidelines-for-generative-ai/?utm_source=chatgpt.com","00_source_material/04_policy_markdown/02_international_original/51_Student Use Guidelines for Generative AI - College of Arts and Sciences.md","policy_markdown",0,0,0,0,0,0,0,0
48,"Karolinska Institutet","Sweden",52,"https://staff.ki.se/doctoral-education/time-to-defend-your-thesis/using-generative-ai-when-writing-academic-texts-within-doctoral-education","00_source_material/04_policy_markdown/02_international_original/52_Karolinska Institutet_Using generative AI when writing academic texts within doctoral education _ Staff Portal.md","policy_markdown",0,0,0,0,0,0,0,0
49,"University of Pittsburgh","USA",53,"https://www.digital.pitt.edu/acceptable-use-generative-artificial-intelligence-tools","00_source_material/04_policy_markdown/02_international_original/53_Pittsburgh_Acceptable Use of Generative Artificial Intelligence Tools _ Pitt Digital.md","policy_markdown",0,0,0,0,0,0,0,0
50,"Leiden University","Netherlands",56,"https://www.organisatiegids.universiteitleiden.nl/binaries/content/assets/geesteswetenschappen/reglementen/2025/250827-guidelines-use-of-genai_students_fgw_eng.pdf","00_source_material/04_policy_markdown/02_international_original/56_250827-guidelines-use-of-genai_students_fgw_eng.md","policy_markdown",0,0,0,0,0,0,0,0
51,"University of Munich","Germany",57,"https://cms-cdn.lmu.de/media/04-som/ism/downloads/empfehlungen-zum-umgang-mit-generativen-und-anderen-ki-tools.pdf","00_source_material/04_policy_markdown/02_international_original/57_empfehlungen-zum-umgang-mit-generativen-und-anderen-ki-tools.md","policy_markdown",0,0,0,0,0,0,0,0
52,"Hong Kong Polytechnic University","HK",58,"https://www.polyu.edu.hk/ar/docdrive/polyu-students/Student-guide-on-the-use-of-GenAI_revised_250214.pdf","00_source_material/04_policy_markdown/02_international_original/58_Student-guide-on-the-use-of-GenAI_revised_250214.md","policy_markdown",1,0,0,0,0,0,1,0
53,"Free University of Berlin","Germany",59,"https://www.berlin-universities-publishing.de/en/ueber-uns/policies/ki-leitlinie/index.html","00_source_material/04_policy_markdown/02_international_original/59_Guideline for Dealing with Artificial Intelligence • Berlin Universities Publishing.md","policy_markdown",0,0,0,0,0,0,0,0
54,"Ruprecht Karls University Heidelberg","Germany",60,"https://backend.sai.uni-heidelberg.de/en/documents/artificial-intelligence-ai-use-policy-for-assessments/download","00_source_material/04_policy_markdown/02_international_original/60_Ruprecht Karls University Heidelberg_download.md","policy_markdown",0,0,0,0,0,0,0,0
55,"University of Zurich","Switzerland",61,"https://www.uzh.ch/en/explore/basics/ai/recommendations.html","00_source_material/04_policy_markdown/02_international_original/61_Recommendations on the Use of Generative Artificial Intelligence at UZH _ University of Zurich _ UZH.md","policy_markdown",0,0,0,0,0,0,0,0
56,"McGill University","Canada",62,"https://www.mcgill.ca/gps/files/gps/using_generative_ai_in_research_gps_guidelines_november_2024.pdf","00_source_material/04_policy_markdown/02_international_original/62_McGill University_using_generative_ai_in_research_gps_guidelines_november_2024.md","policy_markdown",0,0,0,0,0,0,0,0
57,"Sorbonne Universite","France",63,"https://droit.pantheonsorbonne.fr/sites/default/files/2025-10/2025-Charte%20IA-VF%20EDS-Septembre2025.pdf","00_source_material/04_policy_markdown/02_international_original/63_Sorbone2025-Charte%20IA-VF%20EDS-Septembre2025.md","policy_markdown",0,0,0,0,0,0,0,0
58,"University of Glasgow","UK",64,"https://www.gla.ac.uk/myglasgow/sld/ai/students/#usingaiforstudy%2Cresearchandwriting%E2%80%93withoutbreakingouracademicintegrityrules,howshouldireferenceartificialintelligence%3F","00_source_material/04_policy_markdown/02_international_original/64_University of Glasgow - MyGlasgow - Student Learning Development - Artificial Intelligence - Info for Students.md","policy_markdown",0,0,0,0,0,0,0,0
59,"University of Texas Austin","USA",65,"https://tech.utexas.edu/governance/guidance-for-ai","00_source_material/04_policy_markdown/02_international_original/65_TexasGuidance for Using Artificial Intelligence _ Enterprise Technology.md","policy_markdown",0,0,0,0,0,0,0,0
60,"Ohio State University","USA",66,"https://ascode.osu.edu/distance-learning-curriculum/crafting-policy-student-use-artificial-intelligence","00_source_material/04_policy_markdown/02_international_original/66_Ohio StateCrafting Policy for Student Use of Artificial Intelligence _ ASC Office of Distance Education.md","policy_markdown",1,0,0,0,0,0,1,0
61,"Vanderbilt University","USA",67,"https://www.vanderbilt.edu/generative-ai/academic-integrity/","00_source_material/04_policy_markdown/02_international_original/67_Academic Integrity and Generative AI _ Generative AI _ Vanderbilt University.md","policy_markdown",0,1,0,1,1,0,3,0
62,"University of Manchester","UK",68,"https://www.staffnet.manchester.ac.uk/ai-hub/guidelines/","00_source_material/04_policy_markdown/02_international_original/68_Guidelines _ AI Hub _ StaffNet _ The University of Manchester.md","policy_markdown",0,0,0,0,0,0,0,0
63,"Emory University","USA",69,"https://communications.emory.edu/resources/responsible-ai-guidelines.html","00_source_material/04_policy_markdown/02_international_original/69_Responsible AI Use In Emory Marketing and Communications _ Emory University _ Atlanta GA.md","policy_markdown",0,0,0,0,0,0,0,0
64,"University of Maryland College Park","USA",72,"https://ai.umd.edu/resources-guidelines/guidelines-for-use","00_source_material/04_policy_markdown/02_international_original/72_AI @ UMD _ Guidelines for Use.md","policy_markdown",0,1,0,1,0,0,2,0
65,"University of Minnesota Twin Cities","USA",73,"https://umarcomm.umn.edu/resources/guidance-use-generative-artificial-intelligence-ai","00_source_material/04_policy_markdown/02_international_original/73_University of Minnesota Twin Cities_Guidance on the Use of Generative Artificial Intelligence (AI) _ University Marketing Communications.md","policy_markdown",0,0,0,0,0,0,0,0
66,"University of Wisconsin Madison","USA",74,"https://kb.wisc.edu/chm/page.php?id=135525#reasearchprojectrequirementsandstructure%E9%94%9B%E5%9D%94ttps://it.wisc.edu/generative-ai-services-uw-madison/generative-ai-uw-madison-use-policies/%E9%94%9B2025/3/5","00_source_material/04_policy_markdown/02_international_original/74_CHM Undergrads - Semester Project, Peer Review, Generative AI Guidelines.md","policy_markdown",0,0,0,0,0,0,0,0
67,"University of Groningen","Netherlands",75,"https://www.rug.nl/cit/services/ai-office/beleid-en-regelgeving/safe-and-responsible-use-of-ai?lang=en","00_source_material/04_policy_markdown/02_international_original/75_Safe and Responsible use of AI _ AI Policy & Regulations _ University of Groningen.md","policy_markdown",0,0,0,0,0,0,0,0
68,"Erasmus University Rotterdam","Netherlands",76,"https://www.eur.nl/en/about-university/policy-and-regulations/regulations-and-guidelines/ai-usage-guidelines","00_source_material/04_policy_markdown/02_international_original/76_Generative AI Usage Guidelines _ Erasmus University Rotterdam.md","policy_markdown",0,0,0,0,0,0,0,0
69,"University of Southern California","USA",77,"https://academicintegrity.usc.edu/faculty-resources/addressing-generative-ai/","00_source_material/04_policy_markdown/02_international_original/77_USC_Academic Integrity & Generative AI – Office of Academic Integrity.md","policy_markdown",0,0,0,1,0,0,1,0
70,"Universite Paris Saclay","France",78,"https://www.uvsq.fr/ajout-dune-charte-sur-lusage-de-lia-dans-le-reglement-des-etudes-de-lism-iae","00_source_material/04_policy_markdown/02_international_original/78_Paris ScalayAjout d'une charte sur l'usage de l'IA dans le réglement des études de l'ISM-IAE - UVSQ.md","policy_markdown",0,0,0,0,0,0,0,0
71,"Georgia Institute of Technology","USA",79,"https://oit.gatech.edu/ai/guidance","00_source_material/04_policy_markdown/02_international_original/79_GeorgiaAI Standards and Guidance _ Office of Information Technology.md","policy_markdown",0,0,0,0,0,0,0,0
72,"Technical University of Munich","Germany",80,"https://www.prolehre.tum.de/fileadmin/w00btq/www/_my_direct_uploads/Factsheet_Rethinking_assessment_in_response_to_ChatGPT.pdf","00_source_material/04_policy_markdown/02_international_original/80_Technical MunichFactsheet_Rethinking_assessment_in_response_to_ChatGPT.md","policy_markdown",0,0,0,0,0,0,0,0
73,"Vrije Universiteit Amsterdam","Netherlands",81,"https://vu.nl/en/student/examinations/generative-ai-your-use-our-expectations","00_source_material/04_policy_markdown/02_international_original/81_Generative AI, Copilot and ChatGPT - Vrije Universiteit Amsterdam.md","policy_markdown",0,0,0,0,0,0,0,0
74,"University of Barcelona","Spain",82,"https://www.ub.edu/docenciacrai/Blog-TACTIC/ia-generativa-en-el-mon-de-leducacio","00_source_material/04_policy_markdown/02_international_original/82_IA generativa en el món de l'educació. _ CRAI Docència UB.md","policy_markdown",0,0,0,0,0,0,0,0
75,"University of Technology Sydney","Australia",83,"https://www.uts.edu.au/about/leadership-governance/policies/a-z/use-of-ai-in-research-guidelines","00_source_material/04_policy_markdown/02_international_original/83_Use of AI in Research Guidelines _ University of Technology Sydney.md","policy_markdown",0,0,0,0,0,0,0,0
76,"University of Tokyo","Japan",84,"https://utelecon.adm.u-tokyo.ac.jp/en/docs/ai-tools-in-classes/","00_source_material/04_policy_markdown/02_international_original/84_Policy on the use of AI tools in classes _ utelecon.md","policy_markdown",0,0,0,0,0,0,0,0
77,"Australian National University","Australia",86,"https://www.anu.edu.au/students/academic-skills/academic-integrity/best-practice-principles/guide-for-students-best","00_source_material/04_policy_markdown/02_international_original/86_Guide for students_ best practice when using Generative AI _ Australian National University.md","policy_markdown",0,0,0,0,0,0,0,0
78,"Boston University","USA",87,"https://www.bu.edu/aida/guidance/generative-ai-guidelines-for-classroom-use/","00_source_material/04_policy_markdown/02_international_original/87_Boston_Generative AI Guidelines for Classroom Use _ AI Development Accelerator.md","policy_markdown",0,0,0,0,0,0,0,0
79,"Ecole Polytechnique Federale de Lausanne","Switzerland",88,"https://www.epfl.ch/education/teaching/index-html/ai-teaching/guidelines-for-using-ai-in-studying/","00_source_material/04_policy_markdown/02_international_original/88_EPFL_Guidelines for using AI in studying ‒ Teaching ‐ EPFL.md","policy_markdown",0,0,0,0,0,0,0,0
80,"Pennsylvania State University","USA",92,"https://integrity.psu.edu/ai","00_source_material/04_policy_markdown/02_international_original/92_Pennsylvania State_Artificial Intelligence _ Academic Integrity.md","policy_markdown",0,0,0,0,0,0,0,0
81,"University of California Santa Barbara","USA",93,"https://www.writing.ucsb.edu/resources/faculty/ai-policy","00_source_material/04_policy_markdown/02_international_original/93_UCSB Writing Program AI Policy _ Writing Program - UC Santa Barbara.md","policy_markdown",0,0,0,1,0,0,1,0
82,"Queen Mary University London","UK",94,"https://www.qmul.ac.uk/library/academic-skills/student-guide-to-generative-ai/","00_source_material/04_policy_markdown/02_international_original/94_Queen Mary University London.md","policy_markdown",0,0,0,0,0,0,0,0
83,"University of Birmingham","UK",95,"https://intranet.birmingham.ac.uk/student/libraries/asc/student-guidance-gai.aspx","00_source_material/04_policy_markdown/02_international_original/95_Birmingham_Student and PGR guidance on using GenAI tools ethically for work.md","policy_markdown",0,0,0,0,0,0,0,0
84,"University of California Davis","USA",96,"https://iet.ucdavis.edu/aggie-ai/student-guide-gen-ai","00_source_material/04_policy_markdown/02_international_original/96_UC Davis Student Guide to Generative Artificial Intelligence (GenAI) _ UC Davis IET.md","policy_markdown",0,0,0,0,0,0,0,0
85,"University of California Irvine","USA",97,"https://guides.lib.uci.edu/gen-ai/citing#s-lg-box-32721909","00_source_material/04_policy_markdown/02_international_original/97_Irvine_Academic Integrity and Citation - Generative AI and Information Literacy - Research Guides at University of California I.md","policy_markdown",0,0,0,0,0,0,0,0
86,"University of Western Australia","Australia",98,"https://www.uwa.edu.au/students/-/media/project/uwa/uwa/students/academic-support/using-ai-tools-at-uwa---a-guide-for-students-(2025).pdf","00_source_material/04_policy_markdown/02_international_original/98_University of Western Australiausing-ai-tools-at-uwa---a-guide-for-students-(2025).md","policy_markdown",1,0,0,0,0,0,1,0
87,"University of Adelaide","Australia",99,"https://www.adelaide.edu.au/graduate-research/ua/media/4102/guidelines-for-use-of-generative-ai-in-the-higher-degree-by-research.pdf","00_source_material/04_policy_markdown/02_international_original/99_Adelaide_guidelines-for-use-of-generative-ai-in-the-higher-degree-by-research.md","policy_markdown",0,0,0,0,0,0,0,0
88,"University of Oslo","Norway",100,"https://www.mn.uio.no/kurt/english/artificial-intelligence/templates-for-declaration-of-AI-in-assignments.html","00_source_material/04_policy_markdown/02_international_original/100_Suggestion for declaration of AI usage in assignments - KURT – Centre for Teaching and Learning in Science.md","policy_markdown",1,0,0,0,0,0,1,0
