"adopter_index","id","univ_name_cn","univ_name_en","policy_scope","tool_specified","linked_to_pass","implementation_class","implementation_language_coded","policy_summary_exact","source_url"
11,58,"西南交通大学","Southwest Jiaotong University","",1,1,"Broad required detection framework","The university explicitly requires AIGC detection for graduation theses. The original text states that all undergraduate graduation theses will undergo AIGC detection, which is a formal mandatory detection requirement.","The university encourages the appropriate use of new tools and technologies, but requires students to demonstrate independent thinking, comprehension of knowledge, hands-on practice, and creative expression. The university will conduct AIGC detection on all undergraduate graduation projects (theses) regarding the use of AI tools. In principle, the AIGC detection result for undergraduate graduation projects (theses) should not exceed 30%. Supervising instructors and review experts may provide guidance and evaluation feedback based on the AIGC detection results.","http://jwc.swjtu.edu.cn/vatuu/WebAction?setAction=newsDetail&viewType=web&newsId=92FC166F4FED41B7"
12,61,"中国地质大学（武汉）","China University of Geosciences","",0,1,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for graduation theses. The original text states that the system will identify whether the thesis is written through AIGC and give prompts in the detection report, forming a formal detection requirement.","(2) The university prohibits the use of AIGC (Artificial Intelligence Generated Content) to replace students in writing their graduation theses (designs). The system will detect whether AIGC has been used for writing and will provide alerts in the detection report. If the AIGC detection indicates high risk, the student will not be permitted to proceed to the defense. In such cases, the student must revise the work under the guidance of the supervisor or provide a written explanation justifying the duplicated content, which must be reviewed and approved by the supervisor before entering the defense process.","https://bksy.cug.edu.cn/info/1489/11884.htm"
13,80,"西南大学","Southwest University","",0,0,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for graduation theses. The original text lists AIGC detection as one of the mandatory items for undergraduate graduation theses, specifies the detection time limit, and requires submission to the thesis management system for testing, forming a formal detection requirement.","I. Detection Arrangements (I) Detection Content: Includes thesis format detection, similarity rate detection, and AIGC detection. (II) Detection Deadline: To be completed by April 30. (III) Specific Requirements Format Detection: Students must format their thesis (design) according to the requirements specified in the Southwest University Undergraduate Thesis (Design) Format Specifications (Attachment 1), including font type, font size, line spacing, and other formatting rules. They shall then submit the thesis to the thesis management system for format detection (each student is provided one free detection). If a college has additional specific format requirements, these must be submitted to the undergraduate college by March 31. The undergraduate college will then uniformly upload the corresponding college-specific format template to the thesis management system. Final Draft Review: After standardizing the thesis format, students must upload and submit the final draft of the thesis (design) to the system, awaiting review and approval by the supervising instructor. Similarity Rate Detection: Upon approval by the supervising instructor, the thesis shall be submitted to the thesis management system for similarity rate detection. AIGC Detection: Upon approval by the supervising instructor, the thesis shall be submitted to the thesis management system for AIGC detection.","https://ugs.swu.edu.cn/info/1012/3674.htm"
14,86,"西北农林科技大学","Northwest A&F University","",1,1,"Broad required detection framework","The university explicitly requires AIGC detection for graduation theses. All 2025 pre-graduates must participate in AIGC detection with one free quota, and the detection must be completed by May 20th.","II. Artificial Intelligence Generated Content (AIGC) Detection Subjects of Detection All 2025 graduating students will participate in AIGC detection, with each student receiving one free detection provided by their college. Detection must be completed by May 20. Detection Content The detection will identify whether the text partially or entirely exhibits characteristics of AI model generation, producing a detection report that includes the suspected proportion of AIGC content relative to the full text, the distribution of suspected AIGC fragments, and other relevant details. Application of Results The AIGC detection results will serve as a key reference for evaluating the grades of the 2025 undergraduate graduation theses (designs) and for selecting outstanding theses (designs). Students found to have violated regulations on AI tool usage will face appropriate penalties based on the severity of the offense, which may include but are not limited to disqualification from the defense, invalidation of thesis grades, and handling as cases of academic misconduct. Other Relevant Requirements (1) Supervising instructors must guide students in the proper use of AI tools, ensuring their usage is reasonable and compliant, and review their eligibility for defense. (2) Reviewing instructors must evaluate the thesis (design) and provide opinions on whether the student should proceed to the defense. (3) Defense panels must strengthen the examination and verification of core competencies and original contributions for theses (designs) suspected of improper AI tool usage. (4) Students bear ultimate responsibility for the content generated using AI tools, ensuring it complies with academic standards and quality requirements. AI tools must not be listed as authors or collaborators. (5) Students who violate AI tool usage regulations will face appropriate penalties based on the severity of the offense, including but not limited to disqualification from the defense, invalidation of thesis grades, and handling as cases of academic misconduct. Colleges and supervising instructors whose students are identified as having ""problematic theses"" due to AI tool usage in random inspections by the Ministry of Education will be dealt with according to relevant regulations. Before the 2025 undergraduate defense, the secretary of each group must collect the AIGC detection results signed by the supervising instructor as part of the defense materials.","https://cmee.nwsuaf.edu.cn/xwzx/xytz/52e119da18b34a6b8209c6aa20023ad2.htm"
15,87,"北京工业大学","Beijing University of Technology","",0,1,"Broad required detection framework","2. Academic Integrity All undergraduate graduation projects (theses) for the class of 2025 are required to undergo academic misconduct detection, which includes comparison against the CNKI (China National Knowledge Infrastructure) database, internal comparisons with theses from the current and previous years within the university, and AI-generated content (AIGC) detection. In principle, the permissible similarity ratio for science and engineering disciplines must not exceed 25%, while for other disciplines it must not exceed 30%. Projects (theses) failing to meet the required similarity ratio will not be eligible to proceed to the graduation project (thesis) defense stage. The direct use of AI-generated content for writing graduation projects (theses) is strictly prohibited. Any such practice, once identified and verified, will be classified as ghostwriting of a graduation project (thesis) and treated as academic misconduct, subject to disciplinary actions in accordance with the university's regulations. If students utilize AI writing tools for auxiliary purposes, it is recommended that they provide a clear statement detailing the usage in relevant sections of their graduation project (thesis), such as the references or acknowledgments.","2. Academic Integrity All undergraduate graduation projects (theses) for the class of 2025 are required to undergo academic misconduct detection, which includes comparison against the CNKI (China National Knowledge Infrastructure) database, internal comparisons with theses from the current and previous years within the university, and AI-generated content (AIGC) detection. In principle, the permissible similarity ratio for science and engineering disciplines must not exceed 25%, while for other disciplines it must not exceed 30%. Projects (theses) failing to meet the required similarity ratio will not be eligible to proceed to the graduation project (thesis) defense stage. The direct use of AI-generated content for writing graduation projects (theses) is strictly prohibited. Any such practice, once identified and verified, will be classified as ghostwriting of a graduation project (thesis) and treated as academic misconduct, subject to disciplinary actions in accordance with the university's regulations. If students utilize AI writing tools for auxiliary purposes, it is recommended that they provide a clear statement detailing the usage in relevant sections of their graduation project (thesis), such as the references or acknowledgments.","https://undergrad.bjut.edu.cn/info/1216/3215.htm"
16,91,"中国地质大学（北京）","China University of Geosciences, Beijing","",0,0,"Broad required detection framework","The university explicitly requires AIGC detection for graduation theses. All 2025 undergraduate graduation theses must participate in academic misconduct detection, which includes AIGC detection as a mandatory item.","I. Function Overview (1) AI Intelligent Evaluation: Provides in-depth analysis of thesis content, identifying core issues and offering recommendations. The evaluation covers political alignment, relevance to professional training objectives, consistency between title and content, structural completeness, as well as key research elements such as research content, methodology, and conclusions. Evaluation results are categorized into four levels: A (Excellent Thesis), B (Qualified Thesis), C (Revision Recommended), D (High-Risk Thesis). Students may revise their theses based on the AI evaluation suggestions, while supervisors may use these insights to provide further guidance. (2) AIGC Detection: Effectively identifies and guides teachers and students in the appropriate use of AI-generated content. The system generates an AIGC detection rate to prevent misuse of AI and enhance thesis quality. (3) Trial Usage Disclaimer: The content generated by the AI Intelligent Evaluation system in this pilot phase is intended solely as reference material for revising undergraduate graduation projects (theses). It does not influence grade assessment. The final quality of the graduation project (thesis) shall be determined and verified by the supervising instructor.","https://jwc.cugb.edu.cn/c/2025-05-14/826040.shtml"
17,96,"福州大学","Fuzhou University","",0,1,"Broad required detection framework","The university explicitly requires AIGC detection for graduation theses. The university will conduct AIGC detection on both the final draft before defense and the final draft after defense of all 2025 undergraduate graduation theses, with clear detection objects and implementation procedures, forming a formal mandatory AIGC detection requirement.","(6) Plagiarism Check and AIGC Detection for Graduation Projects (Theses) In order to further strengthen the quality supervision and management of graduation projects (theses), encourage academic innovation, uphold academic integrity, ensure the quality of undergraduate graduation projects (theses), regulate the scientific and reasonable use of AIGC technology by students, and prevent academic misconduct such as plagiarism, AI-assisted ghostwriting, falsification, and improper citation during the writing process, the university will conduct plagiarism checks and AIGC detection on the final drafts (pre-defense) and post-defense versions of the 2025 undergraduate graduation projects (theses). These measures are implemented in accordance with the Academic Degrees Law of the People’s Republic of China (Presidential Decree No. 22) and the Measures for Handling Academic Misconduct in Degree Theses (Ministry of Education Decree No. 34). 1. Subjects of Detection All graduation projects (theses) of the 2025 undergraduate cohort. 2. Detection Standards Colleges should further educate students on academic integrity, require them to sign the Fuzhou University Undergraduate Graduation Project (Thesis) Integrity Commitment Form, and clearly inform students of the following university-established thesis detection standards and handling measures: (1) The comparison scope for students’ graduation projects (theses) includes the default database of the VIPS (Weipu) plagiarism detection system and all graduation projects (theses) of the current cohort. (2) The university stipulates the following detection standards for undergraduate graduation projects (theses): The similarity ratio after removing the student’s own previously published work should be ≤20%. The AIGC full-text detection value should be ≤20%. Colleges may establish stricter detection standards based on disciplinary characteristics and graduation project (thesis) requirements. These standards must be communicated to students before the start of the graduation project (thesis) work and submitted to the Academic Affairs Office for record-keeping. Students’ graduation projects (theses) must meet the college’s detection standards to be eligible for defense. (3) The plagiarism check files (pre-defense and post-defense versions) for undergraduate graduation projects (theses) must be uploaded in PDF format. (4) For university-level outstanding graduation projects (theses), the detection results should meet the following criteria: The similarity ratio after removing the student’s own previously published work should be ≤15%. The AIGC full-text detection value should be ≤15%. If either the similarity ratio after removal or the AIGC full-text detection value exceeds 15%, the qualification for university-level outstanding evaluation will be revoked.","https://jzxy.fzu.edu.cn/info/1013/3232.htm"
18,99,"华南师范大学","South China Normal University","",0,1,"Pilot or sampled implementation","The university explicitly requires AIGC detection for undergraduate graduation theses, as it stipulates that AIGC detection will be piloted on the basis of duplicate check for 2025 undergraduate graduation theses, covering all 2025 undergraduates and implemented through the graduation project system.","III. Implementing Plagiarism Checks and Self-inspections for Undergraduate Theses All colleges shall supervise and guide the 2025 graduates to complete plagiarism checks for their undergraduate theses through the graduation project system. In principle, a text similarity rate (excluding the student's own publications) below 30% (exclusive) is required to qualify for the thesis defense. In addition to the plagiarism checks for undergraduate theses, the university will pilot an artificial intelligence-generated content detection system this year, which will serve as an important reference for thesis defense eligibility and grade assessment.","http://em.scnu.edu.cn/a/20250314/10543.html"
19,103,"东北财经大学","Dongbei University of Finance and Economics","",0,1,"Broad required detection framework","The university explicitly requires AIGC detection for undergraduate graduation theses, as it adds AIGC detection as a mandatory item for the current undergraduate thesis detection, and stipulates that all undergraduate graduation theses must participate in the detection (including AIGC detection).","IV. Assessment and Handling of Detection Results Procedures for Handling Detection Results: (1) If the detection result R ≤ 20%, it is deemed to have passed the detection, and the student is eligible for the defense. (2) If the final detection result R > 20%, it is deemed to have failed the detection, and the student is not eligible for the defense. (Note: R refers to the percentage of text similarity, calculated as the proportion of overlapping text between the submitted graduation thesis/design and non-original academic works relative to the full length of the thesis.) For graduation theses/designs with a final detection result R ≤ 20% that require a second defense, a re-detection must be conducted before the second defense. The thesis/design may proceed to the second defense only after passing the re-detection. The detection result for university-level outstanding graduation theses/designs must not exceed 10%. This round of detection includes an AIGC (Artificial Intelligence-Generated Content) detection component. If the AIGC detection result exceeds 40%, it is recommended that the thesis/design be revised. All undergraduate graduation theses/designs must undergo detection. Students unable to submit detection materials on time must submit a written explanation (see Attachment 2; please email the electronic version to songjia@surrey.ac.uk) at least five working days before the detection deadline. The explanation must be approved by the supervising instructor and the college, then submitted to the Academic Affairs Office for review. Students who fail to submit detection materials without valid reasons or do not participate in the detection on time will be disqualified from the graduation thesis defense for the current year.","https://surrey.dufe.edu.cn/content_91162.html"
20,104,"江苏大学","Jiangsu University","",1,1,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for undergraduate graduation theses, as it specifies 2 free detection opportunities per student, a clear passing threshold (AI-generated content ratio ≤ 40%), a standardized operation process via the graduation project management system, and penalty measures for non-compliance.","(II) AIGC (Artificial Intelligence Generated Content) Detection AIGC detection refers to the identification and verification of content generated by artificial intelligence. Number of Detections: The system provides each student with 2 detection opportunities. Detection Standards: The proportion of AI-generated content indicated by the AIGC detection results should, in principle, not exceed 40% (inclusive). Detection Process: After logging into the graduation project management system, click ""Process Management"" → ""Submit AIGC Detection"" → upload the thesis (detailed instructions are provided in Appendix 2). Both the college and the supervising instructor can view the detection results in the system. Note: If a student's AIGC detection results exceed the specified threshold during the defense, the college will submit the case to the defense panel for review. If academic misconduct is confirmed, penalties may include delayed defense, redoing the graduation project (thesis), or other measures as appropriate. In severe cases, the student's grade will be recorded as failing.","https://jwc.ujs.edu.cn/__local/4/ED/24/AA9B4251DB4F3F7C7456155F3BE_943364B4_2115F.pdf"
21,106,"华北电力大学","North China Electric Power University","",0,0,"Broad required detection framework","The university explicitly requires AIGC detection for graduate theses, as it will introduce an ""AIGC Detection Service System"" starting from 2024 to conduct mandatory detection on all graduate theses for degree applications.","Starting from 2024, our university will introduce the ""AIGC Detection Service System"" to screen all dissertation papers submitted by degree-seeking graduate students. All students are expected to conscientiously adhere to academic standards and resist any practices involving the use of artificial intelligence to ghostwrite academic papers.","https://yjsy.ncepu.edu.cn/tzgg/9f64c23df5914e53b821a413943280db.htm"
22,111,"重庆医科大学","Chongqing Medical University","",0,0,"Broad required detection framework","The university explicitly requires AIGC detection for graduation theses, as it adds ""AI ghostwriting"" to the academic integrity veto indicators and mandates that all 2025 full-time undergraduate graduation theses undergo AIGC detection with the thesis check system updated to include this function;","The second item under ""Disqualifying Indicators"" regarding academic integrity now includes ""including AI ghostwriting."" This year, the thesis plagiarism detection system has been updated with an AIGC detection function. All full-time undergraduate theses for the graduating class of 2025 will undergo AIGC detection, and the results will be provided to supervising instructors for reference.","https://jwc.cqmu.edu.cn/info/1007/3361.htm"
23,116,"南京林业大学","Nanjing Forestry University","",0,1,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for graduation theses, as it mandates AIGC detection for 2025 undergraduate graduation theses, specifies that the detection is conducted through the graduation thesis (design) system, defines the detection content (identifying AI-generated text features and generating detailed reports), and clarifies the requirement for students to revise the thesis based on detection results;","III. Detection Process (1) AIGC Detection and Format Checking AIGC detection is used to identify whether the text partially or entirely exhibits characteristics of being generated by artificial intelligence models. It produces a detection report containing metrics such as the suspected proportion of AIGC content relative to the full text and the distribution of suspected AIGC segments. Format checking is conducted to verify whether the thesis (design) complies with the Nanjing Forestry University Undergraduate Thesis (Design) Writing Standards and Formatting Guidelines (Attachment 1). Both AIGC detection and format checking are performed within the graduation thesis (design) system (specific operational procedures are detailed in Attachment 2). Under the guidance of their advisors, students are required to revise and improve their theses (designs) based on the results of the AIGC detection and format checks. The AIGC detection results will serve as an important reference for evaluating the grades of the 2025 undergraduate theses and for selecting outstanding theses.","http://jwc.njfu.edu.cn//sjjx/bysjlw/20250424/i338126.html"
24,118,"浙江师范大学","Zhejiang Normal University","",0,1,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for graduation theses, as it clearly stipulates that AIGC detection is a mandatory requirement for undergraduate graduation theses and sets a specific threshold for the detection result;","Students must submit the main body of their graduation project (thesis) within the specified timeframe. The similarity rate of the thesis must not exceed 20%, and the AIGC detection result must not exceed 30%.","https://smxy.zjnu.edu.cn/2025/0416/c17162a515544/page.htm"
25,119,"海南大学","Hainan University","",0,1,"Framework present; requirement strength unclear","The university explicitly requires AIGC detection for graduation theses, as it sets a clear quantitative standard for AIGC detection (full-text AIGC detection value ≤20%) and incorporates it into the unified detection requirements for graduation theses alongside the repetition rate;","If both the paper similarity rate and the AIGC full-text detection value are ≤20%, the thesis is deemed to have passed the detection.","https://jwc.hainanu.edu.cn/__local/1/04/AA/FD034AC1081D9280A636BC5666B_1D7E8AAB_1BE81.pdf"
