"id","university_cn_en","check_framework","tool_specified","linked_to_pass","evidence_policy_language"
58,"西南交通大学
Southwest Jiaotong University",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that all undergraduate graduation theses will undergo AIGC detection, which is a formal mandatory detection requirement. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions conducting AIGC detection but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text sets a 30% threshold for AIGC results and says supervisors and experts can use the results to give opinions, but it does not link the results directly to graduation requirements."
61,"中国地质大学（武汉）
China University of Geosciences",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text states that the system will identify whether the thesis is written through AIGC and give prompts in the detection report, forming a formal detection requirement. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions that the system will conduct AIGC identification but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral. The text clarifies that a high-risk AIGC detection result means students cannot participate in the defense, and they can only enter the defense process after revision or providing a signed explanation, so the results are directly linked to defense eligibility."
80,"西南大学
Southwest University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text lists AIGC detection as one of the mandatory items for undergraduate graduation theses, specifies the detection time limit, and requires submission to the thesis management system for testing, forming a formal detection requirement.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions conducting AIGC detection through the thesis management system but does not name or indicate a particular tool (e.g., CNKI AI Check, Turnitin AI detection).Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text only clarifies the procedure for AIGC detection but does not link the detection results to key graduation requirements such as thesis approval or defense eligibility."
86,"西北农林科技大学
Northwest A&F University",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. All 2025 pre-graduates must participate in AIGC detection with one free quota, and the detection must be completed by May 20th.Tool specified is coded as 1: TCNKI AI Check is required.Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral. The results are an important reference for thesis grading and excellent thesis selection; improper AI use leads to penalties like canceled defense eligibility, and signed detection results are required as defense materials."
87,"北京工业大学
Beijing University of Technology",1,0,1,"2. Academic Integrity All undergraduate graduation projects (theses) for the class of 2025 are required to undergo academic misconduct detection, which includes comparison against the CNKI (China National Knowledge Infrastructure) database, internal comparisons with theses from the current and previous years within the university, and AI-generated content (AIGC) detection. In principle, the permissible similarity ratio for science and engineering disciplines must not exceed 25%, while for other disciplines it must not exceed 30%. Projects (theses) failing to meet the required similarity ratio will not be eligible to proceed to the graduation project (thesis) defense stage. The direct use of AI-generated content for writing graduation projects (theses) is strictly prohibited. Any such practice, once identified and verified, will be classified as ghostwriting of a graduation project (thesis) and treated as academic misconduct, subject to disciplinary actions in accordance with the university's regulations. If students utilize AI writing tools for auxiliary purposes, it is recommended that they provide a clear statement detailing the usage in relevant sections of their graduation project (thesis), such as the references or acknowledgments."
91,"中国地质大学（北京）
China University of Geosciences, Beijing",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. All 2025 undergraduate graduation theses must participate in academic misconduct detection, which includes AIGC detection as a mandatory item. Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text only mentions AIGC detection as part of academic misconduct detection but does not name or indicate any particular tool (e.g., CNKI AI Check, Turnitin AI detection). Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral. Direct use of AI-generated content in the thesis is identified as ghostwriting (academic misconduct) and will be handled in accordance with relevant school regulations; meanwhile, unqualified similarity ratios (a result of academic misconduct detection including AIGC detection-related checks) disqualify students from entering the defense link."
96,"福州大学
Fuzhou University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The university will conduct AIGC detection on both the final draft before defense and the final draft after defense of all 2025 undergraduate graduation theses, with clear detection objects and implementation procedures, forming a formal mandatory AIGC detection requirement. Tool specified is coded as 0: The university does not specifies a specific AIGC detection tool. Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral. The university sets an AIGC full-text detection threshold of ≤20%, and students must meet the college's detection standards (which may be stricter) to participate in the defense; for university-level excellent theses, the AIGC threshold is ≤15%, and those exceeding it will be disqualified from the selection."
99,"华南师范大学
South China Normal University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for undergraduate graduation theses, as it stipulates that AIGC detection will be piloted on the basis of duplicate check for 2025 undergraduate graduation theses, covering all 2025 undergraduates and implemented through the graduation project system.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning the pilot of AIGC detection and its implementation through the graduation project system without naming or indicating a particular tool (e.g., Weipu AIGC detection, CNKI AI Check).Linked to pass is coded as 1: AIGC detection results are closely related to undergraduate thesis defense eligibility and score evaluation, as the results serve as an important reference for both graduation thesis defense and score assessment, which will affect the supervisor's review of the thesis and the final determination of defense eligibility and academic performance."
103,"东北财经大学
Dongbei University of Finance and Economics",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for undergraduate graduation theses, as it adds AIGC detection as a mandatory item for the current undergraduate thesis detection, and stipulates that all undergraduate graduation theses must participate in the detection (including AIGC detection).Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning the addition of AIGC detection without naming or indicating a particular tool (e.g., Weipu AIGC detection, CNKI AI Check).Linked to pass is coded as 1: AIGC detection results do directly affect thesis approval or defense eligibility."
104,"江苏大学
Jiangsu University",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for undergraduate graduation theses, as it specifies 2 free detection opportunities per student, a clear passing threshold (AI-generated content ratio ≤ 40%), a standardized operation process via the graduation project management system, and penalty measures for non-compliance.Tool specified is coded as 1: The university specifies a specific AIGC detection tool, explicitly stating that the detection relies on the Weipu AIGC detection system.Linked to pass is coded as 1: AIGC detection results directly affect undergraduate thesis defense eligibility, academic misconduct identification and score evaluation, as students exceeding the 40% threshold will be reviewed by the defense panel; those deemed to have committed academic misconduct may face delayed defense, thesis revision, or a failing grade."
106,"华北电力大学
North China Electric Power University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduate theses, as it will introduce an ""AIGC Detection Service System"" starting from 2024 to conduct mandatory detection on all graduate theses for degree applications.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning the introduction of an ""AIGC Detection Service System"" without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection). Linked to pass is coded as 0: AIGC detection results are not related to thesis approval and academic integrity identification."
111,"重庆医科大学
Chongqing Medical University",1,0,0,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it adds ""AI ghostwriting"" to the academic integrity veto indicators and mandates that all 2025 full-time undergraduate graduation theses undergo AIGC detection with the thesis check system updated to include this function; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning that the existing thesis check system has added an AIGC detection function without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 0: AIGC detection results are not related to thesis approval and academic integrity identification."
116,"南京林业大学
Nanjing Forestry University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it mandates AIGC detection for 2025 undergraduate graduation theses, specifies that the detection is conducted through the graduation thesis (design) system, defines the detection content (identifying AI-generated text features and generating detailed reports), and clarifies the requirement for students to revise the thesis based on detection results; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning that the detection is carried out in the graduation thesis (design) system without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis score evaluation and excellent thesis selection, as the results serve as an important reference for 2025 undergraduate graduation thesis score assessment and excellent thesis selection, and students are required to revise their theses according to the results, which impacts the final thesis quality and related evaluation outcomes."
118,"浙江师范大学
Zhejiang Normal University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it clearly stipulates that AIGC detection is a mandatory requirement for undergraduate graduation theses and sets a specific threshold for the detection result; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only stating the AIGC detection threshold (no higher than 30%) without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval and defense eligibility, as failing to meet the AIGC detection standard (higher than 30%) will lead to failure in the thesis detection, which in turn affects the subsequent defense and graduation procedures."
119,"海南大学
Hainan University",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it sets a clear quantitative standard for AIGC detection (full-text AIGC detection value ≤20%) and incorporates it into the unified detection requirements for graduation theses alongside the repetition rate; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only defining the passing threshold for the AIGC detection value without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility or degree conferral, as the AIGC full-text detection value (≤20%) is a core passing indicator, and failure to meet this standard will impact the thesis detection outcome and subsequent graduation-related procedures."
120,"南京工业大学
Nanjing Tech University",1,1,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it mandates AIGC detection for all graduation theses in principle, specifies mandatory detection contents (main text, abstract, acknowledgment) and optional process materials, and allows colleges to formulate specific standards based on discipline characteristics; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only stating detection requirements and follow-up measures without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility, graduation qualification and score evaluation, as a large proportion of suspected AI-generated content requires revision and re-inspection, and those constituting academic misconduct may face penalties such as delayed defense, redoing the thesis, canceled graduation qualification, or a failing score, with the results also serving as a reference for score evaluation and excellent thesis selection."
121,"南京中医药大学
Nanjing University of Chinese Medicine",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it sets a clear AIGC detection standard (full-text AI-generated content ratio ≤ 40%), formulates a complete process for exceeding the standard (warning, revision, re-inspection), and clarifies the authority for formulating professional standards and handling objections; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only stipulating the detection standard and follow-up handling measures without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval and defense eligibility, as exceeding the 40% threshold requires mandatory revision and re-inspection, and failure to meet the standard after handling will affect the progress of the thesis (design) and subsequent defense procedures."
122,"南京信息工程大学
Nanjing University of Information Science & Technology",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it defines AIGC detection, sets a clear passing threshold (AI-generated content ratio< 40% in principle), clarifies the handling authority of detection results (college academic committees), and allows colleges to formulate more detailed requirements based on discipline characteristics; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only explaining the definition and standards of AIGC detection without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility and degree conferral, as severe excess of the AIGC detection threshold may lead to cancellation of defense eligibility and a failing grade."
123,"广东工业大学
Guangdong University of Technology",1,0,1,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as it conducts AIGC detection on all undergraduate graduation theses, specifies the detection time (April 22 to May 5, 2025), and clarifies the organizational responsibilities of colleges; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool, only mentioning a unified detection platform without naming or indicating a particular tool (e.g., CNKI AI Check, Weipu AIGC detection); Linked to pass is coded as 1: AIGC detection results directly affect thesis approval, defense eligibility and degree conferral, as students with an AIGC detection rate higher than 30% are not allowed to apply for defense, those who fail the second detection will have a failing overall score and need to retake the course, and colleges can formulate stricter standards."
